,Name,Platform_Name,Release_Date,New_Release_Date,Release_Year
259,The Witcher 3: Wild Hunt - Blood and Wine,PC,30-May-16,2016-05-30,2016
260,Final Fantasy VI Advance,GameBoyAdvance,05-Feb-07,2007-02-05,2007
261,Rayman Legends,WiiU,03-Sep-13,2013-09-03,2013
262,Tiger Woods PGA Tour 2003,PC,31-Oct-02,2002-10-31,2002
263,Madden NFL 2005,Xbox,09-Aug-04,2004-08-09,2004
264,Super Street Fighter IV,Xbox360,27-Apr-10,2010-04-27,2010
265,Pac-Man Championship Edition DX,PlayStation3,23-Nov-10,2010-11-23,2010
266,Rock Band 2,PlayStation3,19-Oct-08,2008-10-19,2008
267,Microsoft Flight Simulator,PC,18-Aug-20,2020-08-18,2020
268,Dark Souls II,Xbox360,11-Mar-14,2014-03-11,2014
269,Dishonored,PC,08-Oct-12,2012-10-08,2012
270,ESPN NFL Football,PlayStation2,03-Sep-03,2003-09-03,2003
271,Medal of Honor: Allied Assault,PC,20-Jan-02,2002-01-20,2002
272,Myth: The Fallen Lords,PC,31-Oct-97,1997-10-31,1997
273,LittleBigPlanet 2,PlayStation3,18-Jan-11,2011-01-18,2011
274,INSIDE,Switch,28-Jun-18,2018-06-28,2018
275,Guitar Hero,PlayStation2,07-Nov-05,2005-11-07,2005
276,World of Warcraft: Wrath of the Lich King,PC,13-Nov-08,2008-11-13,2008
277,Rock Band 3,Wii,26-Oct-10,2010-10-26,2010
278,Metroid Prime Trilogy,Wii,24-Aug-09,2009-08-24,2009
279,Overwatch,PC,23-May-16,2016-05-23,2016
280,F1 Challenge '99-'02,PC,24-Jun-03,2003-06-24,2003
281,Tony Hawk's Pro Skater 4,GameCube,23-Oct-02,2002-10-23,2002
282,Madden NFL 2001,PlayStation2,23-Oct-00,2000-10-23,2000
283,Baldur's Gate,PC,21-Dec-98,1998-12-21,1998
284,Bayonetta 2,WiiU,20-Sep-14,2014-09-20,2014
285,The Witcher 3: Wild Hunt,XboxOne,19-May-15,2015-05-19,2015
286,Rock Band 3,PlayStation3,26-Oct-10,2010-10-26,2010
287,Klonoa 2: Lunatea's Veil,PlayStation2,25-Jul-01,2001-07-25,2001
288,IL-2 Sturmovik,PC,18-Nov-01,2001-11-18,2001
289,Mario Tennis,Nintendo64,28-Aug-00,2000-08-28,2000
290,FreeSpace 2,PC,30-Sep-99,1999-09-30,1999
291,Colony Wars,PlayStation,31-Oct-97,1997-10-31,1997
292,Metal Gear Solid V: The Phantom Pain,PC,01-Sep-15,2015-09-01,2015
293,Ratchet & Clank: Up Your Arsenal,PlayStation2,03-Nov-04,2004-11-03,2004
294,Resident Evil,GameCube,30-Apr-02,2002-04-30,2002
295,FIFA Soccer 10,PlayStation3,20-Oct-09,2009-10-20,2009
296,Assassin's Creed II,PlayStation3,17-Nov-09,2009-11-17,2009
297,Metal Gear Solid 3: Snake Eater,PlayStation2,17-Nov-04,2004-11-17,2004
298,Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition,Switch,27-Sep-19,2019-09-27,2019
299,Twisted Metal: Black,PlayStation2,18-Jun-01,2001-06-18,2001
300,Spyro: Year of the Dragon,PlayStation,23-Oct-00,2000-10-23,2000
301,Tomb Raider,PlayStation,15-Nov-96,1996-11-15,1996
302,Overwatch,XboxOne,23-May-16,2016-05-23,2016
303,Sekiro: Shadows Die Twice,XboxOne,22-Mar-19,2019-03-22,2019
304,Resident Evil 4: Wii Edition,Wii,19-Jun-07,2007-06-19,2007
305,Shadow of the Colossus,PlayStation2,18-Oct-05,2005-10-18,2005
306,Forza Horizon 3,XboxOne,23-Sep-16,2016-09-23,2016
307,Peggle,PlayStation3,19-Nov-09,2009-11-19,2009
308,The Legend of Zelda: Ocarina of Time / Master Quest,GameCube,28-Feb-03,2003-02-28,2003
309,Borderlands 2,PlayStation3,18-Sep-12,2012-09-18,2012
310,Sonic Mania Plus,Switch,17-Jul-18,2018-07-17,2018
311,Tom Clancy's Splinter Cell,PC,19-Feb-03,2003-02-19,2003
312,Dead Cells,XboxOne,07-Aug-18,2018-08-07,2018
313,Kentucky Route Zero - Act III,PC,06-May-14,2014-05-06,2014
314,NCAA Football 2003,PlayStation2,20-Jul-02,2002-07-20,2002
315,Crysis,PC,13-Nov-07,2007-11-13,2007
316,Ninja Gaiden,Xbox,02-Mar-04,2004-03-02,2004
317,God of War: Chains of Olympus,PSP,04-Mar-08,2008-03-04,2008
318,Final Fantasy XIV: Shadowbringers,PlayStation4,02-Jul-19,2019-07-02,2019
319,DOA2: Hardcore,PlayStation2,25-Oct-00,2000-10-25,2000
320,World of Warcraft: The Burning Crusade,PC,16-Jan-07,2007-01-16,2007
321,MLB 10: The Show,PlayStation3,02-Mar-10,2010-03-02,2010
322,Shadow of the Colossus,PlayStation4,06-Feb-18,2018-02-06,2018
323,Yoshi's Island: Super Mario Advance 3,GameBoyAdvance,24-Sep-02,2002-09-24,2002
324,The Witcher 3: Wild Hunt - Blood and Wine,PlayStation4,30-May-16,2016-05-30,2016
325,Tiger Woods PGA Tour 2005,PC,20-Sep-04,2004-09-20,2004
326,ESPN NFL Football,Xbox,03-Sep-03,2003-09-03,2003
327,NCAA Football 2003,GameCube,20-Jul-02,2002-07-20,2002
328,The Longest Journey,PC,16-Nov-00,2000-11-16,2000
329,Tony Hawk's Pro Skater 2,PC,25-Oct-00,2000-10-25,2000
330,Star Wars Jedi Knight: Dark Forces II,PC,09-Oct-97,1997-10-09,1997
331,Batman: Arkham Asylum,PC,15-Sep-09,2009-09-15,2009
332,Halo: Reach,Xbox360,14-Sep-10,2010-09-14,2010
