name,platform,r-date,developer,genre,players
Sid Meier's Gettysburg!,PC,30-Sep-97,FiraxisGames,"Strategy,Real-Time,Wargame,Real-Time,General",08-Jan
Celeste,Switch,25-Jan-18,MattMakesGamesInc.,"Action,Platformer,2D",No Online Multiplayer
Rock Band 2,Wii,18-Dec-08,HarmonixMusicSystems,"Action,Miscellaneous,Rhythm,Music,Music",4  Online
Forza Motorsport,Xbox,03-May-05,MicrosoftGameStudios,"Driving,Racing,GT / Street",8  Online
Madden NFL 2004,Xbox,12-Aug-03,EATiburon,"Sports,Traditional,Football,Sim",04-Jan
Super Street Fighter IV,PlayStation3,27-Apr-10,Capcom,"Action,Fighting,Fighting,3D,2D,3D",Up to 8 
World Soccer Winning Eleven 7 International,PC,09-Apr-04,KCET,"Sports,Traditional,Team,Soccer,Sim,Sim",02-Jan
Advance Wars,GameBoyAdvance,09-Sep-01,IntelligentSystems,"Strategy,Turn-Based,Modern",04-Jan
Vagrant Story,PlayStation,15-May-00,SquareSoft,"Role-Playing,Action RPG",1 Player
What Remains of Edith Finch,XboxOne,19-Jul-17,GiantSparrow,"Adventure,3D,First-Person",No Online Multiplayer
Team Fortress 2,PC,10-Oct-07,ValveSoftware,"Action,Shooter,Shooter,First-Person,Modern,Tactical,Modern",Up to 32 
System Shock 2,PC,11-Aug-99,"LookingGlassStudios,IrrationalGames","Action Adventure,Sci-Fi,Sci-Fi,Survival",1 Player
Tom Clancy's Splinter Cell: Chaos Theory,PC,28-Mar-05,UbisoftMontreal,"Action Adventure,Modern,General,Modern",No Online Multiplayer
Final Fantasy XII,PlayStation2,31-Oct-06,SquareEnix,"Role-Playing,Console-style RPG",1 Player
Undertale,PlayStation4,15-Aug-17,"tobyfox,8-4","Role-Playing,Japanese-Style",No Online Multiplayer
Madden NFL 2003,GameCube,12-Aug-02,EASports,"Sports,Traditional,Football,Sim",04-Jan
The Witcher 3: Wild Hunt,PlayStation4,19-May-15,CDProjektRedStudio,"Action RPG,Role-Playing,Action RPG",No Online Multiplayer
Super Mario World: Super Mario Advance 2,GameBoyAdvance,09-Feb-02,Nintendo,"Action,Platformer,2D",No info
ESPN NFL 2K5,Xbox,20-Jul-04,VisualConcepts,"Sports,Traditional,Football,Sim",04-Jan
Super Smash Bros. Melee,GameCube,02-Dec-01,HALLabs,"Action,Fighting,3D",04-Jan
Madden NFL 2003,Xbox,12-Aug-02,EATiburon,"Sports,Traditional,Football,Sim",04-Jan
