,platform,genre,players
189,PlayStation2,Fantasy,1 Player
190,PlayStation3,Action Adventure,Up to 10 
190,PlayStation3,Modern,Up to 10 
190,PlayStation3,Modern,Up to 10 
191,Xbox360,Action,4  Online
191,Xbox360,Miscellaneous,4  Online
191,Xbox360,Music,4  Online
191,Xbox360,Music,4  Online
192,PlayStation4,Action,2
192,PlayStation4,Platformer,2
192,PlayStation4,3D,2
194,GameCube,Action Adventure,1 Player
194,GameCube,Horror,1 Player
196,GameCube,Sports,02-Jan
197,PC,Simulation,
197,PC,Miscellaneous,
198,Nintendo64,Action,1 Player
198,Nintendo64,Platformer,1 Player
198,Nintendo64,3D,1 Player
199,PC,Strategy,08-Jan
199,PC,Real-Time,08-Jan
199,PC,Real-Time,08-Jan
199,PC,General,08-Jan
200,Switch,Action,No Online Multiplayer
200,Switch,Platformer,No Online Multiplayer
200,Switch,2D,No Online Multiplayer
201,Wii,Action,4  Online
201,Wii,Miscellaneous,4  Online
201,Wii,Music,4  Online
201,Wii,Music,4  Online
202,Xbox,Driving,8  Online
202,Xbox,Racing,8  Online
203,Xbox,Sports,04-Jan
203,Xbox,Traditional,04-Jan
203,Xbox,Sim,04-Jan
204,PlayStation3,Action,Up to 8 
204,PlayStation3,Fighting,Up to 8 
204,PlayStation3,Fighting,Up to 8 
204,PlayStation3,3D,Up to 8 
204,PlayStation3,2D,Up to 8 
204,PlayStation3,3D,Up to 8 
205,PC,Sports,02-Jan
205,PC,Traditional,02-Jan
205,PC,Team,02-Jan
205,PC,Sim,02-Jan
205,PC,Sim,02-Jan
206,GameBoyAdvance,Strategy,04-Jan
206,GameBoyAdvance,Turn-Based,04-Jan
206,GameBoyAdvance,Modern,04-Jan
207,PlayStation,Role-Playing,1 Player
207,PlayStation,Action RPG,1 Player
208,XboxOne,Adventure,No Online Multiplayer
208,XboxOne,3D,No Online Multiplayer
208,XboxOne,First-Person,No Online Multiplayer
210,PC,Action Adventure,1 Player
210,PC,Sci-Fi,1 Player
210,PC,Sci-Fi,1 Player
210,PC,Survival,1 Player
211,PC,Action Adventure,No Online Multiplayer
211,PC,Modern,No Online Multiplayer
211,PC,General,No Online Multiplayer
211,PC,Modern,No Online Multiplayer
212,PlayStation2,Role-Playing,1 Player
212,PlayStation2,Console-style RPG,1 Player
213,PlayStation4,Role-Playing,No Online Multiplayer
213,PlayStation4,Japanese-Style,No Online Multiplayer
214,GameCube,Sports,04-Jan
214,GameCube,Traditional,04-Jan
214,GameCube,Sim,04-Jan
215,PlayStation4,Action RPG,No Online Multiplayer
215,PlayStation4,Role-Playing,No Online Multiplayer
215,PlayStation4,Action RPG,No Online Multiplayer
217,Xbox,Sports,04-Jan
217,Xbox,Traditional,04-Jan
217,Xbox,Sim,04-Jan
218,GameCube,Action,04-Jan
218,GameCube,Fighting,04-Jan
218,GameCube,3D,04-Jan
219,Xbox,Sports,04-Jan
219,Xbox,Traditional,04-Jan
219,Xbox,Sim,04-Jan
221,PC,Strategy,No Online Multiplayer
221,PC,Real-Time,No Online Multiplayer
221,PC,Historic,No Online Multiplayer
221,PC,General,No Online Multiplayer
221,PC,Historic,No Online Multiplayer
222,Xbox360,Driving,Up to 8 
222,Xbox360,Racing,Up to 8 
222,Xbox360,Simulation,Up to 8 
222,Xbox360,Automobile,Up to 8 
223,PC,Action Adventure,No Online Multiplayer
223,PC,General,No Online Multiplayer
224,PC,Role-Playing,No Online Multiplayer
224,PC,General,No Online Multiplayer
224,PC,Japanese-Style,No Online Multiplayer
225,Xbox360,Action Adventure,No Online Multiplayer
225,Xbox360,Fantasy,No Online Multiplayer
225,Xbox360,General,No Online Multiplayer
225,Xbox360,Fantasy,No Online Multiplayer
226,GameCube,Action,1 Player
226,GameCube,Platformer,1 Player
226,GameCube,3D,1 Player
227,Xbox,Sports,02-Jan
228,Xbox,Action,02-Jan
228,Xbox,Fighting,02-Jan
228,Xbox,3D,02-Jan
229,PlayStation,Sports,02-Jan
230,PC,Action Adventure,1 Player
230,PC,Fantasy,1 Player
230,PC,General,1 Player
230,PC,Fantasy,1 Player
231,3DS,Strategy,No Online Multiplayer
231,3DS,Turn-Based,No Online Multiplayer
231,3DS,Fantasy,No Online Multiplayer
231,3DS,Fantasy,No Online Multiplayer
232,PC,Strategy,Up to 8 
232,PC,Real-Time,Up to 8 
232,PC,Historic,Up to 8 
232,PC,Historic,Up to 8 
233,PlayStation2,Role-Playing,1 Player
233,PlayStation2,Console-style RPG,1 Player
234,GameCube,Action Adventure,1 Player
234,GameCube,Fantasy,1 Player
235,Xbox360,Miscellaneous,No Online Multiplayer
235,Xbox360,Adventure,No Online Multiplayer
235,Xbox360,Compilation,No Online Multiplayer
235,Xbox360,Compilation,No Online Multiplayer
238,Nintendo64,Driving,02-Jan
238,Nintendo64,Racing,02-Jan
239,PlayStation4,Role-Playing,Up to 4 
240,PC,Strategy,1 Player
240,PC,Turn-Based,1 Player
240,PC,Sci-Fi,1 Player
240,PC,Sci-Fi,1 Player
241,WiiU,Action,Up to 8 
241,WiiU,Fighting,Up to 8 
241,WiiU,Fighting,Up to 8 
241,WiiU,3D,Up to 8 
241,WiiU,2D,Up to 8 
241,WiiU,2D,Up to 8 
241,WiiU,3D,Up to 8 
242,PlayStation2,Miscellaneous,02-Jan
242,PlayStation2,Music,02-Jan
243,PlayStation,Role-Playing,1 Player
243,PlayStation,Console-style RPG,1 Player
244,PlayStation3,Action,4  Online
244,PlayStation3,Miscellaneous,4  Online
244,PlayStation3,Music,4  Online
244,PlayStation3,Music,4  Online
245,DS,Role-Playing,No Online Multiplayer
245,DS,Console-style RPG,No Online Multiplayer
245,DS,Console-style RPG,No Online Multiplayer
245,DS,Japanese-Style,No Online Multiplayer
246,Switch,Action Adventure,No Online Multiplayer
247,PlayStation3,Action,No Online Multiplayer
247,PlayStation3,Adventure,No Online Multiplayer
247,PlayStation3,General,No Online Multiplayer
247,PlayStation3,Platformer,No Online Multiplayer
